Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Starlink-2144 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2145;USA;USA;SpaceX;Commercial;Communications
Starlink-2146 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2147 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2148 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2149 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2150 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2151;USA;USA;SpaceX;Commercial;Communications
Starlink-2152 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2153 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2154 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2155;USA;USA;SpaceX;Commercial;Communications
Starlink-2156 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2157 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2158 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2159 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2160 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2161 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2162 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2163 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2164 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2166;USA;USA;SpaceX;Commercial;Communications
Starlink-2167;USA;USA;SpaceX;Commercial;Communications
Starlink-2168 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2169 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2170 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2171 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2174 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2175 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2178 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2179 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2180 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2181 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2182 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2184 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2185 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2186;USA;USA;SpaceX;Commercial;Communications
Starlink-2187;USA;USA;SpaceX;Commercial;Communications
Starlink-2188;USA;USA;SpaceX;Commercial;Communications
Starlink-2189 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2190;USA;USA;SpaceX;Commercial;Communications
Starlink-2191;USA;USA;SpaceX;Commercial;Communications
Starlink-2192 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2193 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2194 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2195 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2196 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2197 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2198 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2209 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2210 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2211 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2212 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2213;USA;USA;SpaceX;Commercial;Communications
Starlink-2213 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2214;USA;USA;SpaceX;Commercial;Communications
Starlink-2215;USA;USA;SpaceX;Commercial;Communications
Starlink-2216 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2217;USA;USA;SpaceX;Commercial;Communications
Starlink-2218 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2219;USA;USA;SpaceX;Commercial;Communications
Starlink-2220;USA;USA;SpaceX;Commercial;Communications
Starlink-2221;USA;USA;SpaceX;Commercial;Communications
Starlink-2222;USA;USA;SpaceX;Commercial;Communications
Starlink-2223 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2224;USA;USA;SpaceX;Commercial;Communications
Starlink-2225;USA;USA;SpaceX;Commercial;Communications
Starlink-2226 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2227;USA;USA;SpaceX;Commercial;Communications
Starlink-2228;USA;USA;SpaceX;Commercial;Communications
Starlink-2229 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2231;USA;USA;SpaceX;Commercial;Communications
Starlink-2232;USA;USA;SpaceX;Commercial;Communications
Starlink-2233;USA;USA;SpaceX;Commercial;Communications
Starlink-2234;USA;USA;SpaceX;Commercial;Communications
Starlink-2235;USA;USA;SpaceX;Commercial;Communications
Starlink-2236;USA;USA;SpaceX;Commercial;Communications
Starlink-2237;USA;USA;SpaceX;Commercial;Communications
Starlink-2238;USA;USA;SpaceX;Commercial;Communications
Starlink-2239 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2240;USA;USA;SpaceX;Commercial;Communications
Starlink-2241;USA;USA;SpaceX;Commercial;Communications
Starlink-2242;USA;USA;SpaceX;Commercial;Communications
Starlink-2243 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2244;USA;USA;SpaceX;Commercial;Communications
Starlink-2245;USA;USA;SpaceX;Commercial;Communications
Starlink-2247;USA;USA;SpaceX;Commercial;Communications
Starlink-2248;USA;USA;SpaceX;Commercial;Communications
Starlink-2249;USA;USA;SpaceX;Commercial;Communications
Starlink-2250;USA;USA;SpaceX;Commercial;Communications
Starlink-2251;USA;USA;SpaceX;Commercial;Communications
Starlink-2252;USA;USA;SpaceX;Commercial;Communications
Starlink-2253;USA;USA;SpaceX;Commercial;Communications
Starlink-2254 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2255;USA;USA;SpaceX;Commercial;Communications
Starlink-2256;USA;USA;SpaceX;Commercial;Communications
Starlink-2257 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2258 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2260 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2262 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2263 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2264 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2265 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2266 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2267 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2268 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2269;USA;USA;SpaceX;Commercial;Communications
Starlink-2270 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2271 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2272 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2273 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2274;USA;USA;SpaceX;Commercial;Communications
Starlink-2275;USA;USA;SpaceX;Commercial;Communications
Starlink-2278 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2279 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2280 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2282 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2283 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2284 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2285 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2286 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2288 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2290 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2291 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2292 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2293 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2294 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2295 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2296 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2298 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2299 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2300 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2301 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2303 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2304 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2305 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2306 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2307 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2308 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2309 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2310 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2312 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2314 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2315 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2317 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2319 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2320 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2321 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2322 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2323 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2324 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2325 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2326 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2327 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2328 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2329 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2330 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2331 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2332 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2333 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2334 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2335 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2336 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2337 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2338 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2339 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2340 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2341 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2342 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2343 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2344 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2345 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2346 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2347 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2348 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2349 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2350 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2351 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2352 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2353 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2354 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2355 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2356 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2357 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2358 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2359 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2360 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2361 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2362 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2363 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2364 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2365 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2366 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2367 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2368 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2369 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2370 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2371 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2372 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2373 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2374 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2375 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2376 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2377 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2378 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2379 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2380 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2381 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2382 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2383 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2384 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2385 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2386 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2387 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2388 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2389 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2390 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2391 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2392 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2393 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2394 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2395 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2396 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2397 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2398 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2399 ;USA;USA;SpaceX;Commercial;Communications
Starlink-24 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2400 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2401 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2402 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2403 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2404 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2405 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2406 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2407 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2408 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2409 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2410 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2411 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2412 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2413 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2414 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2415 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2416 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2417 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2418 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2419 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2420 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2421 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2422 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2423 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2424 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2425 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2426 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2427 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2428 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2429 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2430 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2431 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2432 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2433 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2434 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2435 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2436 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2437 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2438 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2439 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2440 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2441 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2442 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2443 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2444 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2445 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2446 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2447 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2448 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2449 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2450 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2451 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2452 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2453 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2454 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2455 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2456 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2457 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2458 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2459 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2460 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2461;USA;USA;SpaceX;Commercial;Communications
Starlink-2462 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2463 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2464 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2465 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2466 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2467 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2468 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2469 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2470 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2471 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2472 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2473 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2474 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2475 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2476 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2477 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2478 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2479 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2480 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2481 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2482 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2483 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2484 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2485 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2486 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2487 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2488 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2489 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2490 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2491 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2492 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2493 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2494;USA;USA;SpaceX;Commercial;Communications
Starlink-2495 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2496;USA;USA;SpaceX;Commercial;Communications
Starlink-2497;USA;USA;SpaceX;Commercial;Communications
Starlink-2498 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2499;USA;USA;SpaceX;Commercial;Communications
Starlink-2500;USA;USA;SpaceX;Commercial;Communications
Starlink-2501 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2502 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2503 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2504 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2505;USA;USA;SpaceX;Commercial;Communications
Starlink-2506 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2507 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2508;USA;USA;SpaceX;Commercial;Communications
Starlink-2509 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2510 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2511 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2512 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2513 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2514 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2515 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2516 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2517 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2518 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2519 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2520 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2521;USA;USA;SpaceX;Commercial;Communications
Starlink-2523 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2524 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2525;USA;USA;SpaceX;Commercial;Communications
Starlink-2526;USA;USA;SpaceX;Commercial;Communications
Starlink-2527 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2528 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2529;USA;USA;SpaceX;Commercial;Communications
Starlink-2530 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2531;USA;USA;SpaceX;Commercial;Communications
Starlink-2532 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2533 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2534 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2535 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2536 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2537 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2538 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2540 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2541 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2542 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2543 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2544 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2545 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2546 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2547 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2548 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2549 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2550 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2555 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2556 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2557 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2558 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2559 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2560;USA;USA;SpaceX;Commercial;Communications
Starlink-2561;USA;USA;SpaceX;Commercial;Communications
Starlink-2562 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2563;USA;USA;SpaceX;Commercial;Communications
Starlink-2564 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2565 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2566 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2567 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2568;USA;USA;SpaceX;Commercial;Communications
Starlink-2569 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2570;USA;USA;SpaceX;Commercial;Communications
Starlink-2571;USA;USA;SpaceX;Commercial;Communications
Starlink-2572;USA;USA;SpaceX;Commercial;Communications
Starlink-2573;USA;USA;SpaceX;Commercial;Communications
Starlink-2574;USA;USA;SpaceX;Commercial;Communications
Starlink-2575;USA;USA;SpaceX;Commercial;Communications
Starlink-2576;USA;USA;SpaceX;Commercial;Communications
Starlink-2578;USA;USA;SpaceX;Commercial;Communications
Starlink-2579;USA;USA;SpaceX;Commercial;Communications
Starlink-2580 ;USA;USA;SpaceX;Commercial;Communications
Starlink-2581;USA;USA;SpaceX;Commercial;Communications
Starlink-2582;USA;USA;SpaceX;Commercial;Communications
Starlink-2583;USA;USA;SpaceX;Commercial;Communications
Starlink-2585;USA;USA;SpaceX;Commercial;Communications
Starlink-2586;USA;USA;SpaceX;Commercial;Communications
Starlink-2587;USA;USA;SpaceX;Commercial;Communications
Starlink-2588;USA;USA;SpaceX;Commercial;Communications
Starlink-2589;USA;USA;SpaceX;Commercial;Communications
Starlink-2590;USA;USA;SpaceX;Commercial;Communications
Starlink-2591;USA;USA;SpaceX;Commercial;Communications
Starlink-2592;USA;USA;SpaceX;Commercial;Communications
Starlink-2593;USA;USA;SpaceX;Commercial;Communications
Starlink-2594;USA;USA;SpaceX;Commercial;Communications
Starlink-2595;USA;USA;SpaceX;Commercial;Communications
Starlink-2596;USA;USA;SpaceX;Commercial;Communications
Starlink-2598;USA;USA;SpaceX;Commercial;Communications
Starlink-2599;USA;USA;SpaceX;Commercial;Communications
Starlink-2600;USA;USA;SpaceX;Commercial;Communications
Starlink-2600;USA;USA;SpaceX;Commercial;Communications
Starlink-2601;USA;USA;SpaceX;Commercial;Communications
Starlink-2602;USA;USA;SpaceX;Commercial;Communications
Starlink-2603;USA;USA;SpaceX;Commercial;Communications
Starlink-2604;USA;USA;SpaceX;Commercial;Communications
Starlink-2605;USA;USA;SpaceX;Commercial;Communications
Starlink-2606;USA;USA;SpaceX;Commercial;Communications
Starlink-2607;USA;USA;SpaceX;Commercial;Communications
Starlink-2608;USA;USA;SpaceX;Commercial;Communications
Starlink-2609;USA;USA;SpaceX;Commercial;Communications
Starlink-2610;USA;USA;SpaceX;Commercial;Communications
Starlink-2611;USA;USA;SpaceX;Commercial;Communications
Starlink-2612;USA;USA;SpaceX;Commercial;Communications
Starlink-2613;USA;USA;SpaceX;Commercial;Communications
Starlink-2614;USA;USA;SpaceX;Commercial;Communications
Starlink-2615;USA;USA;SpaceX;Commercial;Communications
Starlink-2616;USA;USA;SpaceX;Commercial;Communications
Starlink-2617;USA;USA;SpaceX;Commercial;Communications
Starlink-2618;USA;USA;SpaceX;Commercial;Communications
Starlink-2619;USA;USA;SpaceX;Commercial;Communications
Starlink-2620;USA;USA;SpaceX;Commercial;Communications
Starlink-2621;USA;USA;SpaceX;Commercial;Communications
Starlink-2622;USA;USA;SpaceX;Commercial;Communications
Starlink-2623;USA;USA;SpaceX;Commercial;Communications
Starlink-2624;USA;USA;SpaceX;Commercial;Communications
Starlink-2626;USA;USA;SpaceX;Commercial;Communications
Starlink-2627;USA;USA;SpaceX;Commercial;Communications
Starlink-2628;USA;USA;SpaceX;Commercial;Communications
Starlink-2629;USA;USA;SpaceX;Commercial;Communications
Starlink-2630;USA;USA;SpaceX;Commercial;Communications
Starlink-2631;USA;USA;SpaceX;Commercial;Communications
Starlink-2632;USA;USA;SpaceX;Commercial;Communications
Starlink-2633;USA;USA;SpaceX;Commercial;Communications
Starlink-2633;USA;USA;SpaceX;Commercial;Communications
Starlink-2634;USA;USA;SpaceX;Commercial;Communications
Starlink-2635;USA;USA;SpaceX;Commercial;Communications
Starlink-2636;USA;USA;SpaceX;Commercial;Communications
Starlink-2637;USA;USA;SpaceX;Commercial;Communications
Starlink-2639;USA;USA;SpaceX;Commercial;Communications
